id,name,surname,faculty,phone number,course,education level,score,role
2,Олена Дмитрівна,Гнатюк,Факультет комп'ютрених наук та кібернетики,0772570497,1,аспірант,95,Студентка
6,Михайло Васильович,Гончаренко,Факультет радіофізики електроніки та комп'ютерних систем,093 333 1022,1,аспірант,4,Студент
7,Наталія,Сидоренко,ФРЕКС,093 302 8386,1,магістр,85,Студентка
12,Дмитро Чумак,,Факультет радіофізики електроніки та комп'ютерних систем,+38(096) 676-02-62,1,аспірантура,75,Студент
13,Володимир Григорійович,Ткаченко,ФКНК,0984209177,1,магістр,78,Студент
16,Андрій Петрович,Корнієнко,Факультет інформаційних технологій,073 271 0124,1,бакалавр,69,Студент
27,Василь Андрійович,Сердюк,Мех-мат,0965409127,1,бакалаврат,3,Студент
29,Марія Олексіївна Онопенко,,Факультет комп'ютрених наук та кібернетики,0776108281,1,аспірантура,95,Студент
30,Наталія,Поляков,Факультет інформаційних технологій,+38(050) 600-01-42,1,магістратура,90,Студентка
32,Олена Василівна,Даниленко,ФРЕКС,+38(073) 148-76-14,1,магістр,78,Студентка
34,Іван Васильович,Захарченко,Факультет радіофізики електроніки та комп'ютерних систем,+38(077) 740-82-63,1,магістр,93,Студент
35,Катерина Михайлівна,Гаврилюк,Факультет радіофізики електроніки та комп'ютерних систем,0777350851,1,бакалаврат,60,Студентка
37,Олександр,Семененко,Факультет інформаційних технологій,050 630 2310,1,бакалаврат,72,Студент
38,Володимир Михайлович Мірошниченко,,ФРЕКС,0395142099,1,магістратура,75,Студент
43,Ірина Сергіївна,Паламарчук,Факультет радіофізики електроніки та комп'ютерних систем,+38(099) 622-64-45,1,аспірантура,5,Студент
46,Володимир,Ткаченко,ФКНК,098 420 9177,1,магістратура,78,Студент
47,Михайло,Шаповал,Факультет комп'ютрених наук та кібернетики,073 199 5322,1,магістр,73,Студент
52,Петро Васильович Гордієнко,,ФІТ,+38(099) 517-80-98,1,магістр,64,Студент
53,Олена Петрівна,Левченко,Мех-мат,0938000638,1,бакалаврат,100,Студентка
54,Оксана Захарченко,,ФРЕКС,0731775731,1,аспірантура,86,Студент
55,Богдан Богданович,Кушніренко,Механіко-математичний факультет,+38(068) 141-19-47,1,аспірант,87,Студент
56,Іван Клименко,,Факультет інформаційних технологій,077 868 3439,1,аспірант,72,Студент
58,Олена Василівна,Кравченко,ФІТ,077 247 6743,1,бакалаврат,72,Студент
62,Петро Іванович Левченко,,Факультет інформаційних технологій,099 994 1383,1,аспірант,5,Студент
63,Юлія Андріївна,Коваленко,Факультет комп'ютрених наук та кібернетики,0678176667,1,бакалавріат,87,Студентка
65,Дмитро Олексійович Клименко,,Механіко-математичний факультет,0688659396,1,магістратура,84,Студент
71,Григорій Михайлович,Шевченко,ФКНК,0951223959,1,магістр,3,Студент
74,Олена Богданівна,Тарасенко,Факультет інформаційних технологій,0664039379,1,магістратура,67,Студентка
76,Михайло Дмитрович,Гаврилюк,Механіко-математичний факультет,067 950 1378,1,магістр,76,Студент
82,Василь Васильович,Гнатюк,Факультет інформаційних технологій,073 520 1657,1,магістратура,84,Студент
